"Units","scenario","year","market","value"
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"NYairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"OHCO2 removal",0.00106134
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"OHairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"OKCO2 removal",0.0010999
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"OKairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"ORCO2 removal",0.00108864
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"ORairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"PACO2 removal",0.00105081
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"PAairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"RICO2 removal",0.00101853
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"RIairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"SCCO2 removal",0.00107509
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"SCairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"SDCO2 removal",0.00107013
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"SDairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"TNCO2 removal",0.00107606
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"TNairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"TXCO2 removal",0.00114167
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"TXairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"UTCO2 removal",0.00108978
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"UTairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"VACO2 removal",0.00107509
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"VAairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"VTCO2 removal",0.00101903
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"VTairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"WACO2 removal",0.00108869
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"WAairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"WICO2 removal",0.00105741
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"WIairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"WVCO2 removal",0.00106134
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"WVairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"WYCO2 removal",0.0011005
"1975$/kg","crt2030_80p_nl_202502_onshoring",2035,"WYairCO2",-0.129815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"AKCO2 removal",0.268449
